,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1,0,40,81,114,23,46,18,64,33,14,24,34,10,10,18
2,40,0,19,54,17,14,9,26,11,6,9,14,0,0,7
3,81,19,0,107,14,68,14,60,36,11,22,28,7,8,14
4,114,54,107,0,51,101,61,192,75,34,54,76,20,20,36
5,23,17,14,51,0,13,15,30,11,9,10,17,5,0,8
6,46,14,68,101,13,0,15,84,74,12,30,34,8,10,17
7,18,9,14,61,15,15,0,56,15,18,15,27,7,6,11
8,64,26,60,192,30,84,56,0,113,48,122,144,28,33,54
9,33,11,36,75,11,74,15,113,0,13,48,43,10,13,21
10,14,6,11,34,9,12,18,48,13,0,16,40,11,7,15
11,24,9,22,54,10,30,15,122,48,16,0,85,15,30,35
12,34,14,28,76,17,34,27,144,43,40,85,0,46,46,91
13,10,0,7,20,5,8,7,28,10,11,15,46,0,10,34
14,10,0,8,20,0,10,6,33,13,7,30,46,10,0,34
15,18,7,14,36,8,17,11,54,21,15,35,91,34,34,0
